Flag;Absolute Time;Relative Time;Accumulated Distance (km);Speed (km/h);
11384;17/05/2016 11:19:08.52;+1h 16mn 48s 62;20.340;20;
11387;17/05/2016 11:19:08.86;+1h 16mn 48s 96;20.342;19;
11390;17/05/2016 11:19:09.24;+1h 16mn 49s 34;20.344;18;
11395;17/05/2016 11:19:09.64;+1h 16mn 49s 74;20.346;17;
11397;17/05/2016 11:19:10.04;+1h 16mn 50s 14;20.348;16;
11400;17/05/2016 11:19:10.36;+1h 16mn 50s 46;20.349;15.5;
11402;17/05/2016 11:19:10.41;+1h 16mn 50s 51;20.349;15;
11405;17/05/2016 11:19:10.74;+1h 16mn 50s 84;20.351;14;
11408;17/05/2016 11:19:11.00;+1h 16mn 51s 10;20.352;13;
11411;17/05/2016 11:19:11.26;+1h 16mn 51s 36;20.352;12;
11414;17/05/2016 11:19:11.48;+1h 16mn 51s 58;20.353;11;
11417;17/05/2016 11:19:11.72;+1h 16mn 51s 82;20.354;10;
11419;17/05/2016 11:19:12.00;+1h 16mn 52s 10;20.355;9;
11422;17/05/2016 11:19:12.28;+1h 16mn 52s 38;20.355;8;
11425;17/05/2016 11:19:12.54;+1h 16mn 52s 64;20.356;7;
11427;17/05/2016 11:19:12.80;+1h 16mn 52s 90;20.356;6;
11429;17/05/2016 11:19:13.12;+1h 16mn 53s 22;20.357;5;
11430;17/05/2016 11:19:13.38;+1h 16mn 53s 48;20.357;4;
11432;17/05/2016 11:19:13.90;+1h 16mn 54s 00;20.358;3;
11433;17/05/2016 11:19:13.94;+1h 16mn 54s 04;20.358;2;
11440;17/05/2016 11:19:14.25;+1h 16mn 54s 35;20.358;1.5;
11441;17/05/2016 11:19:14.28;+1h 16mn 54s 38;20.358;1.5;
11442;17/05/2016 11:19:14.29;+1h 16mn 54s 39;20.358;1.5;
11443;17/05/2016 11:19:14.35;+1h 16mn 54s 45;20.358;1;
11445;17/05/2016 11:19:14.60;+1h 16mn 54s 70;20.358;1;
11448;17/05/2016 11:19:14.87;+1h 16mn 54s 97;20.358;1;
11454;17/05/2016 11:19:15.60;+1h 16mn 55s 70;20.358;1;
11459;17/05/2016 11:19:16.36;+1h 16mn 56s 46;20.358;0;
11462;17/05/2016 11:19:23.22;+1h 17mn 3s 32;20.358;0;
11463;17/05/2016 11:19:23.73;+1h 17mn 3s 83;20.358;0;
11464;17/05/2016 11:19:27.92;+1h 17mn 8s 02;20.358;0;
11465;17/05/2016 11:19:28.05;+1h 17mn 8s 15;20.358;0;
11472;17/05/2016 11:19:31.76;+1h 17mn 11s 86;20.358;0;
11475;17/05/2016 11:19:32.28;+1h 17mn 12s 38;20.358;1;
11478;17/05/2016 11:19:32.80;+1h 17mn 12s 90;20.358;2;
11481;17/05/2016 11:19:33.25;+1h 17mn 13s 35;20.359;3;
11483;17/05/2016 11:19:33.60;+1h 17mn 13s 70;20.359;4;
11487;17/05/2016 11:19:33.89;+1h 17mn 13s 99;20.359;4.5;
11489;17/05/2016 11:19:33.96;+1h 17mn 14s 06;20.360;5;
11490;17/05/2016 11:19:34.00;+1h 17mn 14s 10;20.360;5;
11491;17/05/2016 11:19:34.01;+1h 17mn 14s 11;20.360;5;
11492;17/05/2016 11:19:34.35;+1h 17mn 14s 45;20.360;6;
11494;17/05/2016 11:19:34.67;+1h 17mn 14s 77;20.361;7;
11498;17/05/2016 11:19:35.03;+1h 17mn 15s 13;20.362;8;
11500;17/05/2016 11:19:35.38;+1h 17mn 15s 48;20.362;9;
11503;17/05/2016 11:19:35.77;+1h 17mn 15s 87;20.363;10;
11506;17/05/2016 11:19:36.11;+1h 17mn 16s 21;20.364;11;
11510;17/05/2016 11:19:36.55;+1h 17mn 16s 65;20.366;12;
11514;17/05/2016 11:19:36.93;+1h 17mn 17s 03;20.367;13;
11516;17/05/2016 11:19:37.32;+1h 17mn 17s 42;20.369;14;
11520;17/05/2016 11:19:37.71;+1h 17mn 17s 81;20.370;15;
11522;17/05/2016 11:19:38.09;+1h 17mn 18s 19;20.372;16;
11523;17/05/2016 11:19:38.50;+1h 17mn 18s 60;20.374;17;
11525;17/05/2016 11:19:38.92;+1h 17mn 19s 02;20.376;18;
11527;17/05/2016 11:19:39.34;+1h 17mn 19s 44;20.378;19;
11529;17/05/2016 11:19:39.78;+1h 17mn 19s 88;20.380;20;
11532;17/05/2016 11:19:40.17;+1h 17mn 20s 27;20.382;21;
11535;17/05/2016 11:19:40.58;+1h 17mn 20s 68;20.385;22;
11537;17/05/2016 11:19:41.00;+1h 17mn 21s 10;20.388;23;
11542;17/05/2016 11:19:41.48;+1h 17mn 21s 58;20.391;24;
11546;17/05/2016 11:19:42.10;+1h 17mn 22s 20;20.395;25;
11551;17/05/2016 11:19:42.54;+1h 17mn 22s 64;20.398;26;
11559;17/05/2016 11:19:43.78;+1h 17mn 23s 88;20.407;27;
11562;17/05/2016 11:19:45.10;+1h 17mn 25s 20;20.417;28;
11564;17/05/2016 11:19:46.24;+1h 17mn 26s 34;20.426;29;
11568;17/05/2016 11:19:47.41;+1h 17mn 27s 51;20.436;30;
11570;17/05/2016 11:19:48.38;+1h 17mn 28s 48;20.444;31;
11574;17/05/2016 11:19:49.54;+1h 17mn 29s 64;20.454;32;
11578;17/05/2016 11:19:51.18;+1h 17mn 31s 28;20.469;33;
11580;17/05/2016 11:19:51.64;+1h 17mn 31s 74;20.473;33;
11583;17/05/2016 11:19:51.92;+1h 17mn 32s 02;20.476;33;
11591;17/05/2016 11:19:53.76;+1h 17mn 33s 86;20.493;34;
11593;17/05/2016 11:19:55.30;+1h 17mn 35s 40;20.508;35;
11598;17/05/2016 11:19:56.68;+1h 17mn 36s 78;20.521;35;
11600;17/05/2016 11:19:56.96;+1h 17mn 37s 06;20.524;35;
11610;17/05/2016 11:19:59.38;+1h 17mn 39s 48;20.547;34;
11623;17/05/2016 11:20:12.29;+1h 17mn 52s 39;20.668;33.5;
11624;17/05/2016 11:20:12.57;+1h 17mn 52s 67;20.671;33.5;
11626;17/05/2016 11:20:12.70;+1h 17mn 52s 80;20.672;33;
11638;17/05/2016 11:20:17.90;+1h 17mn 58s 00;20.719;32;
11641;17/05/2016 11:20:23.26;+1h 18mn 3s 36;20.766;31.5;
11646;17/05/2016 11:20:24.13;+1h 18mn 4s 23;20.774;31.5;
11647;17/05/2016 11:20:24.19;+1h 18mn 4s 29;20.774;31;
11649;17/05/2016 11:20:24.41;+1h 18mn 4s 51;20.776;31;
11654;17/05/2016 11:20:24.99;+1h 18mn 5s 09;20.781;30;
11658;17/05/2016 11:20:25.45;+1h 18mn 5s 55;20.785;30;
11660;17/05/2016 11:20:25.69;+1h 18mn 5s 79;20.787;29.5;
11662;17/05/2016 11:20:25.78;+1h 18mn 5s 88;20.788;29;
11668;17/05/2016 11:20:26.54;+1h 18mn 6s 64;20.794;28;
11674;17/05/2016 11:20:27.86;+1h 18mn 7s 96;20.804;27;
11678;17/05/2016 11:20:28.25;+1h 18mn 8s 35;20.807;27;
11680;17/05/2016 11:20:28.49;+1h 18mn 8s 59;20.808;27;
11691;17/05/2016 11:20:35.45;+1h 18mn 15s 55;20.859;26;
11694;17/05/2016 11:20:40.05;+1h 18mn 20s 15;20.892;25.5;
11696;17/05/2016 11:20:40.33;+1h 18mn 20s 43;20.894;25.5;
11698;17/05/2016 11:20:40.40;+1h 18mn 20s 50;20.895;25;
11702;17/05/2016 11:20:41.09;+1h 18mn 21s 19;20.899;24.5;
11704;17/05/2016 11:20:41.29;+1h 18mn 21s 39;20.901;24.5;
11707;17/05/2016 11:20:41.71;+1h 18mn 21s 81;20.904;24;
11713;17/05/2016 11:20:43.20;+1h 18mn 23s 30;20.913;23;
11716;17/05/2016 11:20:44.25;+1h 18mn 24s 35;20.920;22.5;
11718;17/05/2016 11:20:44.30;+1h 18mn 24s 40;20.920;22;
11721;17/05/2016 11:20:44.53;+1h 18mn 24s 63;20.921;22;
11725;17/05/2016 11:20:45.06;+1h 18mn 25s 16;20.925;21;
11729;17/05/2016 11:20:45.79;+1h 18mn 25s 89;20.929;20;
11732;17/05/2016 11:20:46.17;+1h 18mn 26s 27;20.931;19.5;
11734;17/05/2016 11:20:46.34;+1h 18mn 26s 44;20.932;19;
11737;17/05/2016 11:20:46.82;+1h 18mn 26s 92;20.934;18;
11739;17/05/2016 11:20:46.85;+1h 18mn 26s 95;20.934;18;
11740;17/05/2016 11:20:46.93;+1h 18mn 27s 03;20.935;18;
11743;17/05/2016 11:20:47.21;+1h 18mn 27s 31;20.936;17;
11745;17/05/2016 11:20:47.42;+1h 18mn 27s 52;20.937;16;
11747;17/05/2016 11:20:47.64;+1h 18mn 27s 74;20.938;15;
11750;17/05/2016 11:20:47.86;+1h 18mn 27s 96;20.939;14;
11753;17/05/2016 11:20:48.12;+1h 18mn 28s 22;20.940;13;
11754;17/05/2016 11:20:48.30;+1h 18mn 28s 40;20.941;12;
11757;17/05/2016 11:20:48.51;+1h 18mn 28s 61;20.941;11;
11760;17/05/2016 11:20:48.72;+1h 18mn 28s 82;20.942;10;
11762;17/05/2016 11:20:48.92;+1h 18mn 29s 02;20.942;9;
11763;17/05/2016 11:20:49.11;+1h 18mn 29s 21;20.943;8;
11766;17/05/2016 11:20:49.28;+1h 18mn 29s 38;20.943;7;
11769;17/05/2016 11:20:49.47;+1h 18mn 29s 57;20.943;6;
11772;17/05/2016 11:20:49.69;+1h 18mn 29s 79;20.944;5;
11774;17/05/2016 11:20:49.93;+1h 18mn 30s 03;20.944;4;
11775;17/05/2016 11:20:50.01;+1h 18mn 30s 11;20.944;4;
11776;17/05/2016 11:20:50.13;+1h 18mn 30s 23;20.944;3;
11779;17/05/2016 11:20:50.36;+1h 18mn 30s 46;20.944;2;
11784;17/05/2016 11:20:50.62;+1h 18mn 30s 72;20.945;1.5;
11787;17/05/2016 11:20:50.66;+1h 18mn 30s 76;20.945;1.5;
11788;17/05/2016 11:20:50.69;+1h 18mn 30s 79;20.945;1.5;
11790;17/05/2016 11:20:50.97;+1h 18mn 31s 07;20.945;1.5;
11798;17/05/2016 11:20:52.17;+1h 18mn 32s 27;20.945;1.5;
11800;17/05/2016 11:20:52.44;+1h 18mn 32s 54;20.945;1;
11802;17/05/2016 11:20:52.80;+1h 18mn 32s 90;20.945;0;
11803;17/05/2016 11:21:02.35;+1h 18mn 42s 45;20.945;0;
11804;17/05/2016 11:21:04.03;+1h 18mn 44s 13;20.945;0;
11806;17/05/2016 11:21:06.53;+1h 18mn 46s 63;20.945;0;
11814;17/05/2016 11:21:10.66;+1h 18mn 50s 76;20.945;1;
11815;17/05/2016 11:21:10.74;+1h 18mn 50s 84;20.945;1;
11818;17/05/2016 11:21:11.14;+1h 18mn 51s 24;20.946;2;
11820;17/05/2016 11:21:11.56;+1h 18mn 51s 66;20.946;3;
11823;17/05/2016 11:21:11.98;+1h 18mn 52s 08;20.946;4;
11826;17/05/2016 11:21:12.31;+1h 18mn 52s 41;20.947;4.5;
11827;17/05/2016 11:21:12.34;+1h 18mn 52s 44;20.947;4.5;
11828;17/05/2016 11:21:12.35;+1h 18mn 52s 45;20.947;4.5;
11829;17/05/2016 11:21:12.43;+1h 18mn 52s 53;20.947;5;
11832;17/05/2016 11:21:12.88;+1h 18mn 52s 98;20.948;6;
11833;17/05/2016 11:21:13.36;+1h 18mn 53s 46;20.948;7;
11835;17/05/2016 11:21:13.86;+1h 18mn 53s 96;20.949;8;
11838;17/05/2016 11:21:14.28;+1h 18mn 54s 38;20.950;9;
11840;17/05/2016 11:21:14.76;+1h 18mn 54s 86;20.952;10;
11842;17/05/2016 11:21:15.18;+1h 18mn 55s 28;20.953;11;
11844;17/05/2016 11:21:15.60;+1h 18mn 55s 70;20.954;12;
11846;17/05/2016 11:21:16.06;+1h 18mn 56s 16;20.956;13;
11847;17/05/2016 11:21:16.44;+1h 18mn 56s 54;20.957;14;
11850;17/05/2016 11:21:16.83;+1h 18mn 56s 93;20.959;15;
11854;17/05/2016 11:21:17.22;+1h 18mn 57s 32;20.960;16;
11856;17/05/2016 11:21:17.61;+1h 18mn 57s 71;20.962;17;
11857;17/05/2016 11:21:18.00;+1h 18mn 58s 10;20.964;18;
11860;17/05/2016 11:21:18.39;+1h 18mn 58s 49;20.966;19;
11864;17/05/2016 11:21:18.91;+1h 18mn 59s 01;20.969;20;
11868;17/05/2016 11:21:19.32;+1h 18mn 59s 42;20.971;21;
11871;17/05/2016 11:21:19.83;+1h 18mn 59s 93;20.974;22;
11875;17/05/2016 11:21:20.46;+1h 19mn 0s 56;20.978;23;
11880;17/05/2016 11:21:21.01;+1h 19mn 1s 11;20.982;24;
11887;17/05/2016 11:21:22.32;+1h 19mn 2s 42;20.991;25;
11891;17/05/2016 11:21:23.04;+1h 19mn 3s 14;20.996;26;
11892;17/05/2016 11:21:23.30;+1h 19mn 3s 40;20.998;26;
11895;17/05/2016 11:21:23.59;+1h 19mn 3s 69;21.000;26.5;
11896;17/05/2016 11:21:23.62;+1h 19mn 3s 72;21.000;27;
11900;17/05/2016 11:21:24.73;+1h 19mn 4s 83;21.009;28;
11903;17/05/2016 11:21:26.30;+1h 19mn 6s 40;21.021;29;
11907;17/05/2016 11:21:27.88;+1h 19mn 7s 98;21.034;30;
11909;17/05/2016 11:21:29.52;+1h 19mn 9s 62;21.048;31;
11917;17/05/2016 11:21:31.35;+1h 19mn 11s 45;21.064;32;
11923;17/05/2016 11:21:32.42;+1h 19mn 12s 52;21.074;33;
11926;17/05/2016 11:21:33.92;+1h 19mn 14s 02;21.088;34;
11931;17/05/2016 11:21:35.12;+1h 19mn 15s 22;21.099;35;
11936;17/05/2016 11:21:36.57;+1h 19mn 16s 67;21.113;36;
11941;17/05/2016 11:21:37.80;+1h 19mn 17s 90;21.126;37;
11945;17/05/2016 11:21:38.96;+1h 19mn 19s 06;21.138;38;
11949;17/05/2016 11:21:40.58;+1h 19mn 20s 68;21.155;39;
11953;17/05/2016 11:21:42.76;+1h 19mn 22s 86;21.179;40;
11979;17/05/2016 11:21:56.93;+1h 19mn 37s 03;21.339;41;
12004;17/05/2016 11:22:04.56;+1h 19mn 44s 66;21.426;40;
12007;17/05/2016 11:22:05.36;+1h 19mn 45s 46;21.435;39;
12010;17/05/2016 11:22:06.14;+1h 19mn 46s 24;21.443;38;
12013;17/05/2016 11:22:06.90;+1h 19mn 47s 00;21.451;37;
12016;17/05/2016 11:22:07.70;+1h 19mn 47s 80;21.459;36;
12019;17/05/2016 11:22:08.44;+1h 19mn 48s 54;21.466;35;
12023;17/05/2016 11:22:09.24;+1h 19mn 49s 34;21.474;34;
12035;17/05/2016 11:22:11.46;+1h 19mn 51s 56;21.495;35;
12038;17/05/2016 11:22:12.74;+1h 19mn 52s 84;21.508;36;
12045;17/05/2016 11:22:14.51;+1h 19mn 54s 61;21.526;37;
12061;17/05/2016 11:22:20.73;+1h 20mn 0s 83;21.590;36;
12063;17/05/2016 11:22:21.63;+1h 20mn 1s 73;21.599;35;
12065;17/05/2016 11:22:22.60;+1h 20mn 2s 70;21.608;34;
12067;17/05/2016 11:22:23.32;+1h 20mn 3s 42;21.615;33.5;
12068;17/05/2016 11:22:23.89;+1h 20mn 3s 99;21.620;33;
12074;17/05/2016 11:22:25.94;+1h 20mn 6s 04;21.639;32;
12076;17/05/2016 11:22:26.15;+1h 20mn 6s 25;21.640;32;
12078;17/05/2016 11:22:26.43;+1h 20mn 6s 53;21.643;31.5;
12079;17/05/2016 11:22:26.59;+1h 20mn 6s 69;21.644;31;
12084;17/05/2016 11:22:27.21;+1h 20mn 7s 31;21.650;30;
12087;17/05/2016 11:22:27.78;+1h 20mn 7s 88;21.654;29;
12088;17/05/2016 11:22:27.83;+1h 20mn 7s 93;21.654;29;
12091;17/05/2016 11:22:28.11;+1h 20mn 8s 21;21.657;28.5;
12093;17/05/2016 11:22:28.27;+1h 20mn 8s 37;21.658;28;
12097;17/05/2016 11:22:28.75;+1h 20mn 8s 85;21.662;27;
12099;17/05/2016 11:22:29.14;+1h 20mn 9s 24;21.665;26;
12102;17/05/2016 11:22:29.39;+1h 20mn 9s 49;21.666;25.5;
12104;17/05/2016 11:22:29.52;+1h 20mn 9s 62;21.668;25;
12107;17/05/2016 11:22:29.82;+1h 20mn 9s 92;21.670;24;
12109;17/05/2016 11:22:30.07;+1h 20mn 10s 17;21.671;23.5;
12110;17/05/2016 11:22:30.18;+1h 20mn 10s 28;21.672;23;
12114;17/05/2016 11:22:30.56;+1h 20mn 10s 66;21.674;22;
12117;17/05/2016 11:22:30.88;+1h 20mn 10s 98;21.676;21;
12119;17/05/2016 11:22:31.22;+1h 20mn 11s 32;21.678;20;
12123;17/05/2016 11:22:31.60;+1h 20mn 11s 70;21.680;19;
12125;17/05/2016 11:22:31.91;+1h 20mn 12s 01;21.682;18;
12127;17/05/2016 11:22:32.24;+1h 20mn 12s 34;21.683;17;
12131;17/05/2016 11:22:32.63;+1h 20mn 12s 73;21.685;16;
12134;17/05/2016 11:22:32.95;+1h 20mn 13s 05;21.686;15.5;
12135;17/05/2016 11:22:33.02;+1h 20mn 13s 12;21.687;15;
12139;17/05/2016 11:22:33.41;+1h 20mn 13s 51;21.688;14;
12142;17/05/2016 11:22:33.68;+1h 20mn 13s 78;21.689;13;
12145;17/05/2016 11:22:33.95;+1h 20mn 14s 05;21.690;12;
12148;17/05/2016 11:22:34.24;+1h 20mn 14s 34;21.691;11;
12151;17/05/2016 11:22:34.51;+1h 20mn 14s 61;21.692;10;
12153;17/05/2016 11:22:34.75;+1h 20mn 14s 85;21.693;9;
12156;17/05/2016 11:22:34.97;+1h 20mn 15s 07;21.693;8;
12160;17/05/2016 11:22:35.40;+1h 20mn 15s 50;21.694;7;
12164;17/05/2016 11:22:35.79;+1h 20mn 15s 89;21.695;6;
12167;17/05/2016 11:22:36.13;+1h 20mn 16s 23;21.695;5;
12170;17/05/2016 11:22:36.41;+1h 20mn 16s 51;21.696;4;
12172;17/05/2016 11:22:36.47;+1h 20mn 16s 57;21.696;4;
12174;17/05/2016 11:22:36.65;+1h 20mn 16s 75;21.696;3;
12178;17/05/2016 11:22:36.94;+1h 20mn 17s 04;21.696;2;
12183;17/05/2016 11:22:37.28;+1h 20mn 17s 38;21.696;2;
12184;17/05/2016 11:22:37.28;+1h 20mn 17s 38;21.696;2;
12185;17/05/2016 11:22:37.31;+1h 20mn 17s 41;21.696;2;
12188;17/05/2016 11:22:37.63;+1h 20mn 17s 73;21.696;2;
12198;17/05/2016 11:22:38.91;+1h 20mn 19s 01;21.697;1;
12199;17/05/2016 11:22:38.95;+1h 20mn 19s 05;21.697;1;
12202;17/05/2016 11:22:39.44;+1h 20mn 19s 54;21.697;0;
12204;17/05/2016 11:22:47.68;+1h 20mn 27s 78;21.697;0;
12205;17/05/2016 11:22:50.13;+1h 20mn 30s 23;21.697;0;
12206;17/05/2016 11:22:51.83;+1h 20mn 31s 93;21.697;0;
12214;17/05/2016 11:22:58.94;+1h 20mn 39s 04;21.697;1;
12215;17/05/2016 11:22:59.04;+1h 20mn 39s 14;21.697;1;
12217;17/05/2016 11:22:59.31;+1h 20mn 39s 41;21.697;2;
12219;17/05/2016 11:22:59.64;+1h 20mn 39s 74;21.698;3;
12222;17/05/2016 11:23:00.02;+1h 20mn 40s 12;21.698;4;
12226;17/05/2016 11:23:00.33;+1h 20mn 40s 43;21.698;4.5;
12227;17/05/2016 11:23:00.40;+1h 20mn 40s 50;21.698;4.5;
12228;17/05/2016 11:23:00.41;+1h 20mn 40s 51;21.698;4.5;
12229;17/05/2016 11:23:00.42;+1h 20mn 40s 52;21.699;5;
12231;17/05/2016 11:23:00.86;+1h 20mn 40s 96;21.699;6;
12233;17/05/2016 11:23:01.25;+1h 20mn 41s 35;21.700;7;
12236;17/05/2016 11:23:01.64;+1h 20mn 41s 74;21.701;8;
12239;17/05/2016 11:23:02.06;+1h 20mn 42s 16;21.702;9;
12242;17/05/2016 11:23:02.46;+1h 20mn 42s 56;21.703;10;
12243;17/05/2016 11:23:02.84;+1h 20mn 42s 94;21.704;11;
12245;17/05/2016 11:23:03.20;+1h 20mn 43s 30;21.705;12;
12248;17/05/2016 11:23:03.58;+1h 20mn 43s 68;21.706;13;
12250;17/05/2016 11:23:03.90;+1h 20mn 44s 00;21.708;14;
12251;17/05/2016 11:23:04.24;+1h 20mn 44s 34;21.709;15;
12253;17/05/2016 11:23:04.62;+1h 20mn 44s 72;21.711;16;
12255;17/05/2016 11:23:04.92;+1h 20mn 45s 02;21.712;17;
12257;17/05/2016 11:23:05.26;+1h 20mn 45s 36;21.714;18;
12259;17/05/2016 11:23:05.65;+1h 20mn 45s 75;21.716;19;
12261;17/05/2016 11:23:05.94;+1h 20mn 46s 04;21.717;20;
12263;17/05/2016 11:23:06.30;+1h 20mn 46s 40;21.719;21;
12265;17/05/2016 11:23:06.62;+1h 20mn 46s 72;21.721;22;
12269;17/05/2016 11:23:06.96;+1h 20mn 47s 06;21.723;23;
12273;17/05/2016 11:23:07.38;+1h 20mn 47s 48;21.726;24;
12275;17/05/2016 11:23:07.76;+1h 20mn 47s 86;21.729;25;
12277;17/05/2016 11:23:08.24;+1h 20mn 48s 34;21.732;26;
12279;17/05/2016 11:23:08.63;+1h 20mn 48s 73;21.735;27;
12281;17/05/2016 11:23:09.02;+1h 20mn 49s 12;21.738;28;
12285;17/05/2016 11:23:09.34;+1h 20mn 49s 44;21.740;29;
12288;17/05/2016 11:23:09.79;+1h 20mn 49s 89;21.744;30;
12291;17/05/2016 11:23:10.18;+1h 20mn 50s 28;21.747;31;
12293;17/05/2016 11:23:10.60;+1h 20mn 50s 70;21.751;32;
12297;17/05/2016 11:23:11.08;+1h 20mn 51s 18;21.755;33;
12303;17/05/2016 11:23:11.66;+1h 20mn 51s 76;21.761;34;
12321;17/05/2016 11:23:23.37;+1h 21mn 3s 47;21.872;34;
12325;17/05/2016 11:23:27.33;+1h 21mn 7s 43;21.908;33;
12332;17/05/2016 11:23:32.36;+1h 21mn 12s 46;21.954;32.5;
12333;17/05/2016 11:23:32.36;+1h 21mn 12s 46;21.954;32;
12335;17/05/2016 11:23:32.64;+1h 21mn 12s 74;21.956;32;
12338;17/05/2016 11:23:33.09;+1h 21mn 13s 19;21.960;31;
12343;17/05/2016 11:23:33.90;+1h 21mn 14s 00;21.967;30;
12348;17/05/2016 11:23:34.76;+1h 21mn 14s 86;21.974;29;
12353;17/05/2016 11:23:35.85;+1h 21mn 15s 95;21.983;28;
12357;17/05/2016 11:23:37.26;+1h 21mn 17s 36;21.994;27;
12358;17/05/2016 11:23:38.12;+1h 21mn 18s 22;22.000;26.5;
12361;17/05/2016 11:23:38.64;+1h 21mn 18s 74;22.004;26;
12363;17/05/2016 11:23:38.84;+1h 21mn 18s 94;22.005;26;
12364;17/05/2016 11:23:39.12;+1h 21mn 19s 22;22.007;25.5;
12368;17/05/2016 11:23:39.59;+1h 21mn 19s 69;22.011;25;
12374;17/05/2016 11:23:40.71;+1h 21mn 20s 81;22.018;24;
12379;17/05/2016 11:23:42.09;+1h 21mn 22s 19;22.027;23;
12381;17/05/2016 11:23:42.24;+1h 21mn 22s 34;22.028;23;
12383;17/05/2016 11:23:42.56;+1h 21mn 22s 66;22.030;23;
12387;17/05/2016 11:23:43.06;+1h 21mn 23s 16;22.033;22;
12389;17/05/2016 11:23:43.36;+1h 21mn 23s 46;22.035;22;
12391;17/05/2016 11:23:43.60;+1h 21mn 23s 70;22.036;21.5;
12393;17/05/2016 11:23:43.88;+1h 21mn 23s 98;22.038;21;
12398;17/05/2016 11:23:44.62;+1h 21mn 24s 72;22.042;20;
12403;17/05/2016 11:23:45.37;+1h 21mn 25s 47;22.046;19;
12405;17/05/2016 11:23:45.68;+1h 21mn 25s 78;22.048;18.5;
12407;17/05/2016 11:23:45.94;+1h 21mn 26s 04;22.049;18;
12409;17/05/2016 11:23:46.00;+1h 21mn 26s 10;22.049;18;
12414;17/05/2016 11:23:46.54;+1h 21mn 26s 64;22.052;17;
12418;17/05/2016 11:23:47.06;+1h 21mn 27s 16;22.055;16;
12421;17/05/2016 11:23:47.32;+1h 21mn 27s 42;22.056;15.5;
12423;17/05/2016 11:23:47.52;+1h 21mn 27s 62;22.057;15;
12426;17/05/2016 11:23:47.89;+1h 21mn 27s 99;22.058;14;
12429;17/05/2016 11:23:48.24;+1h 21mn 28s 34;22.059;13;
12434;17/05/2016 11:23:48.65;+1h 21mn 28s 75;22.061;12;
12437;17/05/2016 11:23:49.13;+1h 21mn 29s 23;22.062;11;
12440;17/05/2016 11:23:49.59;+1h 21mn 29s 69;22.064;10;
12445;17/05/2016 11:23:50.10;+1h 21mn 30s 20;22.065;9;
12449;17/05/2016 11:23:50.68;+1h 21mn 30s 78;22.066;8;
12452;17/05/2016 11:23:51.22;+1h 21mn 31s 32;22.067;7;
12455;17/05/2016 11:23:51.84;+1h 21mn 31s 94;22.069;6;
12456;17/05/2016 11:23:52.44;+1h 21mn 32s 54;22.069;5;
12460;17/05/2016 11:23:53.04;+1h 21mn 33s 14;22.070;4;
12465;17/05/2016 11:23:53.84;+1h 21mn 33s 94;22.071;4;
12471;17/05/2016 11:23:55.01;+1h 21mn 35s 11;22.072;4;
12476;17/05/2016 11:23:55.92;+1h 21mn 36s 02;22.073;3;
12478;17/05/2016 11:23:56.09;+1h 21mn 36s 19;22.073;3;
12480;17/05/2016 11:23:56.40;+1h 21mn 36s 50;22.074;2;
12483;17/05/2016 11:23:56.62;+1h 21mn 36s 72;22.074;2;
12484;17/05/2016 11:23:56.66;+1h 21mn 36s 76;22.074;1.5;
12485;17/05/2016 11:23:56.69;+1h 21mn 36s 79;22.074;1.5;
12486;17/05/2016 11:23:56.90;+1h 21mn 37s 00;22.074;1;
12488;17/05/2016 11:23:57.00;+1h 21mn 37s 10;22.074;1;
12492;17/05/2016 11:23:57.97;+1h 21mn 38s 07;22.074;1;
12497;17/05/2016 11:23:58.97;+1h 21mn 39s 07;22.074;0;
12510;17/05/2016 11:24:15.90;+1h 21mn 56s 00;22.074;0;
12512;17/05/2016 11:24:18.46;+1h 21mn 58s 56;22.074;0;
12514;17/05/2016 11:24:20.04;+1h 22mn 0s 14;22.074;0;
12518;17/05/2016 11:24:23.43;+1h 22mn 3s 53;22.074;0;
12524;17/05/2016 11:24:25.41;+1h 22mn 5s 51;22.074;0.5;
12526;17/05/2016 11:24:25.64;+1h 22mn 5s 74;22.074;1;
12528;17/05/2016 11:24:26.08;+1h 22mn 6s 18;22.074;2;
12531;17/05/2016 11:24:26.42;+1h 22mn 6s 52;22.075;3;
12533;17/05/2016 11:24:26.78;+1h 22mn 6s 88;22.075;4;
12537;17/05/2016 11:24:27.02;+1h 22mn 7s 12;22.075;4.5;
12538;17/05/2016 11:24:27.05;+1h 22mn 7s 15;22.075;5;
12539;17/05/2016 11:24:27.09;+1h 22mn 7s 19;22.075;5;
12540;17/05/2016 11:24:27.10;+1h 22mn 7s 20;22.075;5;
12543;17/05/2016 11:24:27.34;+1h 22mn 7s 44;22.076;6;
12544;17/05/2016 11:24:27.69;+1h 22mn 7s 79;22.076;7;
12545;17/05/2016 11:24:27.96;+1h 22mn 8s 06;22.077;8;
12546;17/05/2016 11:24:28.26;+1h 22mn 8s 36;22.078;9;
12548;17/05/2016 11:24:28.60;+1h 22mn 8s 70;22.079;10;
12550;17/05/2016 11:24:28.85;+1h 22mn 8s 95;22.079;11;
12553;17/05/2016 11:24:29.12;+1h 22mn 9s 22;22.080;12;
12554;17/05/2016 11:24:29.38;+1h 22mn 9s 48;22.081;13;
12557;17/05/2016 11:24:29.63;+1h 22mn 9s 73;22.082;14;
12560;17/05/2016 11:24:29.92;+1h 22mn 10s 02;22.083;15;
12563;17/05/2016 11:24:30.18;+1h 22mn 10s 28;22.084;16;
